run_id,run_name,variant,checkpoint_name,lora_path,model_source,created_at,n_samples,Q1_acc,Q1_f1,Q2_acc,Q2_f1,Q3_acc,Q3_f1,Q4_acc,Q4_f1,Q5_acc,Q5_f1,Q6_acc,Q6_f1,Q7_acc,Q7_f1,Q7_over_disclosure_rate,Q7_under_disclosure_rate,Q7_mae,Q7_mae_over,Q7_mae_under,Q7_abstention_violation_rate,Q7_cm_A_A,Q7_cm_A_B,Q7_cm_A_C,Q7_cm_B_A,Q7_cm_B_B,Q7_cm_B_C,Q7_cm_C_A,Q7_cm_C_B,Q7_cm_C_C,Q7_errdist_-2,Q7_errdist_-1,Q7_errdist_0,Q7_errdist_1,Q7_errdist_2,sg_sharing_intent_yes_n,sg_sharing_intent_yes_accuracy,sg_sharing_intent_yes_over_disclosure_rate,sg_sharing_intent_yes_under_disclosure_rate,sg_sharing_intent_yes_mae,sg_sharing_intent_no_n,sg_sharing_intent_no_accuracy,sg_sharing_intent_no_over_disclosure_rate,sg_sharing_intent_no_under_disclosure_rate,sg_sharing_intent_no_mae,sg_face_visible_n,sg_face_visible_accuracy,sg_face_visible_over_disclosure_rate,sg_face_visible_under_disclosure_rate,sg_face_visible_mae,sg_face_not_visible_n,sg_face_not_visible_accuracy,sg_face_not_visible_over_disclosure_rate,sg_face_not_visible_under_disclosure_rate,sg_face_not_visible_mae,context_acc,intent_acc
dpq40qh2,mcq_eval-vlm_geoprivacy_bench-orchestrator-20260327-220215,Finetuned (unknown: Qwen3.5-2B+sft_only),Qwen3.5-2B+sft_only,/share/pierson/matt/UAIR/multirun/2026-03-24_grpo_training/22-45-39/sft_only/outputs/sft/checkpoint,/share/pierson/matt/zoo/models/Qwen3.5-2B,2026-03-28 02:02:15+00:00,783,0.3116,0.2377,0.5785,0.3698,0.682,0.4225,0.5798,0.3442,0.53,0.3438,0.5006,0.2224,0.212,0.1166,0.4278,0.3602,0.788,1.0,1.0,1.0,0,335,0,0,166,0,0,282,0,0,282,166,335,0,343,0.2041,0.07,0.7259,0.7959,440,0.2182,0.7068,0.075,0.7818,382,0.1728,0.6335,0.1937,0.8272,378,0.2407,0.2222,0.537,0.7593,0.48050000000000004,0.63025
ou7bjd2o,mcq_eval-vlm_geoprivacy_bench-orchestrator-20260327-211907,Finetuned (unknown: Qwen3.5-4B+sft_only),Qwen3.5-4B+sft_only,/share/pierson/matt/UAIR/multirun/2026-03-24_grpo_training/22-45-27/sft_only/outputs/sft/checkpoint,/share/pierson/matt/zoo/models/Qwen3.5-4B,2026-03-28 01:19:08+00:00,783,0.6897,0.5793,0.7862,0.5087,0.6389,0.4239,0.7229,0.7471,0.7548,0.782,0.7017,0.4553,0.5147,0.5185,0.2427,0.2427,0.5338,1.0789,1.1211,0.5164,162,158,15,56,93,17,23,111,148,23,167,403,175,15,343,0.5102,0.0933,0.3965,0.5598,440,0.5182,0.3591,0.1227,0.5136,382,0.4921,0.3586,0.1492,0.5393,378,0.5397,0.1243,0.336,0.5238,0.7172749999999999,0.71255
wo2qyskj,mcq_eval-vlm_geoprivacy_bench-orchestrator-20260327-211357,Finetuned (unknown: Qwen3.5-9B+checkpoint_vlm_patched),Qwen3.5-9B+checkpoint_vlm_patched,/share/pierson/matt/UAIR/outputs/2026-03-14/14-18-47/sft_only/outputs/sft/checkpoint_vlm_patched,/share/pierson/matt/zoo/models/Qwen3.5-9B,2026-03-28 01:13:58+00:00,783,0.6513,0.5347,0.7561,0.4872,0.8455,0.5424,0.8863,0.8653,0.7407,0.7645,0.6577,0.4146,0.6054,0.5854,0.2069,0.1877,0.4866,1.2716,1.1905,0.3851,206,85,44,51,82,33,28,68,186,28,119,474,118,44,343,0.5714,0.1137,0.3149,0.5335,440,0.6318,0.2795,0.0886,0.45,382,0.6518,0.2435,0.1047,0.4555,378,0.5556,0.1693,0.2751,0.5212,0.734,0.8008
c08941al,mcq_eval-vlm_geoprivacy_bench-orchestrator-20260327-124337,Finetuned (unknown: Qwen3.5-9B+grpo_programmatic_only),Qwen3.5-9B+grpo_programmatic_only,/share/pierson/matt/UAIR/multirun/2026-03-26_grpo_training/20-46-52/grpo_programmatic_only/outputs/grpo/checkpoint,/share/pierson/matt/zoo/models/Qwen3.5-9B,2026-03-27 16:43:37+00:00,783,0.6117,0.4921,0.7714,0.4963,0.8404,0.5296,0.8787,0.8498,0.7203,0.7381,0.6705,0.4284,0.599,0.5983,0.2503,0.1507,0.4559,1.1327,1.1441,0.5104,164,145,26,21,120,25,17,80,185,17,101,469,170,26,343,0.6356,0.102,0.2624,0.4344,440,0.5705,0.3659,0.0636,0.4727,382,0.5759,0.301,0.123,0.4843,378,0.619,0.1984,0.1825,0.4312,0.7203,0.8059000000000001
wxgo9a8z,mcq_eval-vlm_geoprivacy_bench-orchestrator-20260327-223614,Finetuned (unknown: _merged_sft+grpo_programmatic_only),_merged_sft+grpo_programmatic_only,/share/pierson/matt/UAIR/multirun/2026-03-26_grpo_training/20-46-52/grpo_programmatic_only/outputs/grpo/checkpoint,/share/pierson/matt/UAIR/multirun/2026-03-26_grpo_training/20-46-52/grpo_programmatic_only/outputs/grpo/checkpoint/_merged_sft,2026-03-28 02:36:15+00:00,783,0.6807,0.5721,0.7893,0.5134,0.8453,0.5399,0.894,0.8641,0.7369,0.7516,0.6853,0.4379,0.6373,0.6238,0.2567,0.106,0.433,1.2189,1.1325,0.4597,181,110,44,16,103,47,11,56,215,11,72,499,157,44,343,0.6851,0.137,0.1778,0.3732,440,0.6,0.35,0.05,0.4795,382,0.6099,0.301,0.089,0.4738,378,0.664,0.2116,0.1243,0.3915,0.749225,0.8173
szesucmu,mcq_eval-vlm_geoprivacy_bench-orchestrator-20260329-175341,GRPO (unknown: _merged_sft+grpo_only_online_external),_merged_sft+grpo_only_online_external,/share/pierson/matt/UAIR/multirun/2026-03-29_grpo_training/11-28-41/grpo_only_online_external/outputs/grpo/checkpoint,/share/pierson/matt/UAIR/multirun/2026-03-29_grpo_training/11-28-41/grpo_only_online_external/outputs/grpo/checkpoint/_merged_sft,2026-03-29 21:53:42+00:00,783,0.6616,0.5443,0.7599,0.4879,0.825,0.5309,0.8799,0.8481,0.7458,0.747,0.6897,0.4447,0.6003,0.5878,0.2158,0.1839,0.4674,1.2012,1.1319,0.4119,197,104,34,43,92,31,19,82,181,19,125,470,135,34,343,0.5977,0.1079,0.2945,0.484,440,0.6023,0.3,0.0977,0.4545,382,0.6073,0.2932,0.0995,0.4634,378,0.5979,0.1402,0.2619,0.4683,0.7442500000000001,0.79245
03ghfvjw,mcq_eval-vlm_geoprivacy_bench-orchestrator-20260329-175341,GRPO v2,_merged_sft+grpo_only_online_external,/share/pierson/matt/UAIR/multirun/2026-03-29_grpo_training/11-39-49/grpo_only_online_external/outputs/grpo/checkpoint,/share/pierson/matt/UAIR/multirun/2026-03-29_grpo_training/11-39-49/grpo_only_online_external/outputs/grpo/checkpoint/_merged_sft,2026-03-29 21:53:42+00:00,783,0.6616,0.5443,0.7599,0.4879,0.825,0.5309,0.8799,0.8481,0.7446,0.7462,0.6897,0.4447,0.6003,0.5878,0.2158,0.1839,0.4674,1.2012,1.1319,0.4119,197,104,34,43,92,31,19,82,181,19,125,470,135,34,343,0.5977,0.1079,0.2945,0.484,440,0.6023,0.3,0.0977,0.4545,382,0.6047,0.2958,0.0995,0.466,378,0.6005,0.1376,0.2619,0.4656,0.7439500000000001,0.79245
so652nao,mcq_eval-vlm_geoprivacy_bench-orchestrator-20260330-122720,GRPO v3,_merged_sft+checkpoint-600,/share/pierson/matt/UAIR/multirun/2026-03-29_grpo_training/23-13-02/grpo_only_online_external/outputs/grpo/checkpoint/checkpoint-600,/share/pierson/matt/UAIR/multirun/2026-03-29_grpo_training/23-13-02/grpo_only_online_external/outputs/grpo/checkpoint/_merged_sft,2026-03-30 16:27:21+00:00,783,0.6833,0.5745,0.7854,0.5097,0.8244,0.5268,0.894,0.8641,0.7471,0.7591,0.6923,0.4455,0.6232,0.6107,0.2605,0.1162,0.4432,1.2108,1.0989,0.4746,176,116,43,20,101,45,9,62,211,9,82,488,161,43,343,0.6676,0.137,0.1953,0.3878,440,0.5886,0.3568,0.0545,0.4864,382,0.6047,0.3063,0.089,0.4764,378,0.6402,0.2143,0.1455,0.4127,0.754175,0.8049
1yx522e4,mcq_eval-vlm_geoprivacy_bench-orchestrator-20260328-055405,Unknown (Qwen3.5-2B),Qwen3.5-2B,,/share/pierson/matt/zoo/models/Qwen3.5-2B,2026-03-28 09:54:06+00:00,783,0.3078,0.2345,0.6015,0.3893,0.6743,0.4226,0.5798,0.3464,0.516,0.3373,0.5006,0.2224,0.212,0.1166,0.4278,0.3602,0.788,1.0,1.0,1.0,0,335,0,0,166,0,0,282,0,0,282,166,335,0,343,0.2041,0.07,0.7259,0.7959,440,0.2182,0.7068,0.075,0.7818,382,0.1728,0.6335,0.1937,0.8272,378,0.2407,0.2222,0.537,0.7593,0.47605,0.6379
2ctflkcd,mcq_eval-vlm_geoprivacy_bench-orchestrator-20260328-061243,Unknown (Qwen3.5-4B),Qwen3.5-4B,,/share/pierson/matt/zoo/models/Qwen3.5-4B,2026-03-28 10:12:44+00:00,783,0.6833,0.5714,0.7875,0.5098,0.6376,0.4231,0.7216,0.746,0.751,0.7791,0.702,0.4568,0.5121,0.5139,0.249,0.2388,0.5453,1.0923,1.1444,0.5194,161,156,18,56,89,21,27,104,151,27,160,401,177,18,343,0.5015,0.105,0.3936,0.5831,440,0.5205,0.3614,0.1182,0.5159,382,0.4974,0.3613,0.1414,0.5471,378,0.5238,0.1376,0.3386,0.545,0.714475,0.71255
hgol1q28,mcq_eval-vlm_geoprivacy_bench-orchestrator-20260328-064759,Unknown (Qwen3.5-9B),Qwen3.5-9B,,/share/pierson/matt/zoo/models/Qwen3.5-9B,2026-03-28 10:47:59+00:00,783,0.6858,0.5774,0.7918,0.5155,0.8375,0.5334,0.894,0.8641,0.7382,0.7529,0.6964,0.4466,0.6347,0.6203,0.2567,0.1086,0.433,1.204,1.1412,0.4597,181,113,41,19,100,47,12,54,216,12,73,497,160,41,343,0.6822,0.1341,0.1837,0.3819,440,0.5977,0.3523,0.05,0.4727,382,0.6152,0.2958,0.089,0.4581,378,0.6534,0.2169,0.1296,0.4074,0.7536,0.81465
